Id,eng,ara
46678, Misdirector, التوجيه الخاطيء
46679, Misdirects, يضلّل
46680, Misdoing, الخطأ
46681, Misentry, معلومة خاطئة
46682, Miser, البخيل
46683, Miserable, بائس
46684, Miserableness, بؤس
46685, Miserably, مثيرا للشفقة
46686, Miseries, التعاسات
46687, Miserliness, بخل
46688, `eng`, `ara` VALUE
46689, Miserly, بخيل
46690, Misers, بخلاء
46691, Misery, تعاسة
46692, Misfeature, السّمة المريضة
46693, Misfile, أخطأ في حفظ
46694, Misfiled, مخطأ في حفظ
46695, Misfiles, يخطئ في حفظ
46696, Misfiling, خطأ في حفظ
46697, Misfire, خلل الإشعال
46698, Misfired, اختل السلاح الناريّ
46699, Misfires, إخفاقات
46700, Misfiring, إخفاق
46701, Misfit, عدم الملائمة
46702, Misfits, عدم الملائمة
46703, Misfortune, سوء الحظ
46704, Misfortunes, سوء الحظ
46705, Misgauge, يقيس شيئ ما بصورة غير صحيحة
46706, Misgauged, قاس شيئ ما بصورة غير صحيحة
46707, Misgauges, يقيس شيئ ما بصورة غير صحيحة
46708, Misgauging, قياس شيئ ما بصورة غير صحيحة
46709, Misgiving, التخوّف
46710, Misgivings, التخوف
46711, Misgovern, أسئ إدارة
46712, Misgoverned, مساء إدارة
46713, Misgoverning, إساءة إدارة
46714, Misgovernment, إساءة الحكم
46715, Misgoverns, يسيئ إدارة
46716, Misguidance, التضليل
46717, Misguide, ضلّل
46718, Misguided, خاطئ
46719, Misguidedly, بطريقة مضلّلة
46720, Misguidedness, التظليل
46721, Misguider, المضلِل
46722, Misguides, يضلّل
46723, Misguiding, التضليل
46724, Mishandle, أسئ استعماله
46725, Mishandled, أساء استعماله
46726, Mishandling, الإساءة استعمال
46727, Mishap, الحادثة
46728, Mishaps, الحوادث
46729, Mishmash, الخليط الغير متجانس
46730, Misidentification, خطأ التّعرّف
46731, Misidentified, أخطأ في التعرف
46732, Misidentifies, يخطئ التّعرّف
46733, Misidentify, يخطيء التّعرّف
46734, Misidentifying, خطأ التّعرّف
46735, Misinform, ضلّل
46736, Misinformation, التضليل
46737, Misinformed, مضلّل
46738, Misinforming, التضليل
46739, Misinforms, يضلّل
46740, Misinterpret, أسئ فهم
46741, Misinterpretation, سوء الفهم
46742, Misinterpretations, سوء الفهم
46743, Misinterpreted, مساء فهم
46744, Misinterpreter, مسيء الفهم
46745, Misinterpreters, مسيؤو الفهم
46746, Misinterpreting, إساءة فهم
46747, Misinterprets, يسيئ فهم
46748, Misjudge, أسئ تقدير
46749, Misjudged, مساء تقدير
46750, Misjudgement, الحكم السيء
46751, Misjudgements, الأحكام السيئة
46752, Misjudges, يسيئ تقدير
46753, Misjudging, إساءة تقدير
46754, Misjudgment, إساءة التقدير
46755, Misjudgments, حالات إساءة التقدير
46756, Mislaid, مفقود
46757, Mislay, إفقد
46758, Mislaying, الفقد
46759, Mislays, يفقد
46760, Mislead, ضلّل
46761, Misleader, المضلّل
46762, Misleading, التضليل
46763, Misleadingly, بشكل مضلّل
46764, Misleads, يضلّل
46765, Misled, ضلّل
46766, Mismanage, أسئ إدارة
46767, Mismanaged, مساء إدارة
46768, Mismanagement, سوء الإدارة
46769, Mismanages, يسيئ إدارة
46770, Mismanaging, إساءة إدارة
46771, Mismatch, اللخبطة
46772, Mismatched, مساء ملائمة
46773, Mismatches, يسيئ ملائمة
46774, Mismatching, إساءة ملائمة
46775, Misname, أسئ تسمية
46776, Misnamed, مساء تسمية
46777, Misnames, يسيئ تسمية
46778, Misnaming, إساءة تسمية
46779, Misnomer, الخطأ في التسمية
46780, Misnomered, سُمِّيَ باسم غير صحيح
46781, Misogamist, كاره الزواج
46782, Misogynist, كاره النساء
46783, Misogynists, كارهو النساء
46784, Misogynous, كاره نساء
46785, Misogyny, كره النساء
46786, Misperceive, أسئ فهم
46787, Misperceived, أساء فهم
46788, Misperceives, يسيئ فهم
46789, Misplace, أخطأ في وضع
46790, Misplaced, في غير مكانها
46791, Misplacement, سوء الوضع
46792, Misplaces, يخطئ في وضع
46793, Misplacing, خطأ في وضع
46794, Misplay, يخطئ في اللعب
46795, Misplayed, أخطأ في اللعب
46796, Misplaying, خطأ في اللعب
46797, Misplays, أخطأ في اللعب
46798, Misprint, خطأ مطبعي
46799, Misprinted, أخطأ في الطبع
46800, Misprinting, خطأ  في الطباعة
46801, Misprints, الأخطاء المطبعية
46802, Mispronounce, أخطأ تلفّظ
46803, Mispronounced, مخطأ تلفّظ
46804, Mispronounces, يخطئ تلفّظ
46805, Mispronouncing, خطأ تلفّظ
46806, Mispronunciation, الخطأ اللفظي
46807, Misquotation, الخطأ في الإقتباس
46808, Misquote, أسئ إقتباس
46809, Misquoted, مساء إقتباس
46810, Misquotes, يسيئ إقتباس
46811, Misquoting, إساءة إقتباس
46812, Misread, أسئ قراءة
46813, Misreader, ميسريدر
46814, Misreading, إساءة قراءة
46815, Misreads, يسيئ قراءة
46816, Misrelated, مساء ربط
46817, Misreporting, خطأ في رواية
46818, Misrepresent, أسئ تمثيل
46819, Misrepresentation, التّحوير في عرض الأمور
46820, Misrepresentations, التّحوير في عرض الأمور
46821, Misrepresentative, تمويهي
46822, Misrepresented, مساء تمثيل
46823, Misrepresenter, المحوّر في عرض الأمور
46824, Misrepresenting, إساءة تمثيل
46825, Misrepresents, يسيئ تمثيل
46826, Misroute, اخطأ توجيه
46827, Misrule, سوء الحكم
46828, Misruled, مساء حكم
46829, Misrules, سوء الأحكام
46830, Misruling, إساءة حكم
46831, Miss, الرمية الخاطئة
46832, Missal, كتاب القدّاس
46833, Missed, مفتقد
46834, Missend, يخطئ في الإرسال
46835, Missent, أخطأ في الإرسال
46836, Misses, الأخطاء
46837, Misshaped, شوّه
46838, Misshapen, ممسوخ
46839, Misshapenly, بشكل ممسوخ
46840, Misshapenness, التشوّه
46841, Misshapes, يشوّه
46842, Misshaping, التشويه
46843, Missile, الصاروخ
46844, Missiles, الصواريخ
46845, Missing, الفقدان
46846, Mission, المهمّة
46847, Missionaries, المبشّرون
46848, Missionary, المبشّر
46849, Missioned, كلّف بمهمة
46850, Missioner, مبشّر
46851, Missioning, التكليف بمهمة
46852, Missions, المهمات
46853, Mississippi, نهر المسيسيبي
46854, Mississippian, متعلق بولاية ميسيسبي أو بهر المسيسيبي
46855, Mississippians, المواطنون من ميسيسبي
46856, Missive, الخطاب
46857, Missives, الخطابات
46858, Missoula, ميسسولا
46859, Missouri, ميسسوري
46860, Misspell, أخطأ تهجئة
46861, Misspelled, مخطأ تهجئة
46862, Misspelling, خطا في التهجئة
46863, Misspellings, أخطاء في التهجئة
46864, Misspells, يخطئ تهجئة
46865, Misspelt, أخطأ في الهجاء
46866, Misspend, بذّر
46867, Misspending, التبذير
46868, Misspends, يبذّر
46869, Misspent, مبذّر
46870, Misstate, أسئ تعبير
46871, Misstated, مساء تعبير
46872, Misstatement, بيان كاذب
46873, Misstatements, بيانات كاذبة
46874, Misstates, يسيئ تعبير
46875, Misstating, إساءة تعبير
46876, Misstep, العثرة
46877, Missy, ميسي
46878, Mist, السحب
46879, Mistakable, عرضة للخطأ
46880, Mistakably, بشكل خاطيء
46881, Mistake, خطأ
46882, Mistaken, مخطئ
46883, Mistakenly, بشكل خاطئ
46884, Mistaker, المخطئ
46885, Mistakes, الأخطاء
46886, Mistaking, الخطأ في
46887, Mistakingly, بطريقة خاطئة
46888, Misted, مغشّى
46889, Mister, السيد
46890, Misters, السادة
46891, Mistier, ضبابي
46892, Mistiest, ضبابي
46893, Mistily, ضبابيا
46894, Mistiness, الضبابية
46895, Misting, التغشية
46896, Mistletoe, الهدال
46897, Mistletoes, الهدالات
46898, Mistook, أخطأ فيه
46899, Mistranslation, إساءة الترجمة
46900, Mistranslations, إساءة الترجمة
46901, Mistreat, أسئ معاملة
46902, Mistreated, مساء معاملة
46903, Mistreating, إساءة معاملة
46904, Mistreats, يسيئ معاملة
46905, Mistress, العشيقة
46906, Mistresses, العشيقات
46907, Mistrial, المحاكمة الباطلة
46908, Mistrust, سوء الظنّ
46909, Mistrusted, مشكوك في
46910, Mistruster, عديم الثقة
46911, Mistrustful, مرتاب
46912, Mistrustfully, بشكل مرتاب
46913, Mistrustfulness, سوء الظنّ
46914, Mistrusting, الشكّ في
46915, Mistrustingly, بانعدام الثقة
46916, Mistrusts, سوء الظنون
46917, Mists, السحب
46918, Misty, ضبابي
46919, Mistype, يكتب بالخطأ
46920, Misunderstand, يسيء الفهم
46921, Misunderstander, مسيء الفهم
46922, Misunderstanders, مسيؤو الفهم
46923, Misunderstanding, سوء الفهم
46924, Misunderstandings, سوء التفاهم
46925, Misunderstands, يسيء فهم
46926, Misunderstood, مساء فهمه
46927, Misusage, استعمال خاطئ
46928, Misusages, إساءات الإستعمال
46929, Misuse, سوء الاستعمال
46930, Misused, اساء الاستعمال
46931, Misuser, مسيء الإستعمال
46932, Misuses, سوء الإستعمال
46933, Misusing, إساءة إستعمال
46934, Miswritten, مساء تعبير
46935, MIT, جامعة ماساتشوستس
46936, Mitch, ميتش
46937, Mitchell, ميتشيل
46938, Mite, العثّة
46939, Miter, القلّوسة
46940, Mitered, متوّج
46941, Miterer, المُتوِّج
46942, Mitering, التتويج
46943, Miters, التيجان
46944, Miterwort, ميتيروورت - نبات
46945, Mites, العثّ
46946, Mitigate, سكّن
46947, Mitigated, مسكّن
46948, Mitigates, يسكّن
46949, Mitigating, التسكين
46950, Mitigation, التخفيف
46951, Mitigations, التخفيف
46952, Mitigative, مخفّف
46953, Mitigatory, مخفّف
46954, Mitochondria, مايتوكوندريا: خلية مولدة للطاقة
46955, Mitosis, انقسام الخلية غير المباشر
46956, Mitral, تاجي
46957, Mitre, القلّوسة
46958, Mitt, القفاز
46959, Mitten, القفّاز
46960, Mittens, القفازات
46961, Mitzvahs, ميتزفاهس - إحدى الوصايا العشر للتشريع اليهوديّ
46962, Mix, المزيج
46963, Mixable, قابل للمزج
46964, Mixed, مختلط
46965, Mixer, الخلاطة
46966, Mixer-Elements, عناصر خلاطة
46967, Mixers, الخلاطات
46968, Mixes, المزج
46969, Mixing, الخلط
46970, Mixture, الخليط
46971, Mixtures, الخلطات
46972, Mixup, شجار
46973, Mizar, الإزار نجم
46974, Ml, المليلتر
46975, Mm, المليمتر
46976, MM-dd, ش ش-ي ي
46977, MMMM, ش ش ش ش
46978, MN, مينيسوتا
46979, Mnemonic, متعلق بالذاكرة
46980, Mnemonically, بشكل سهل التّذكّر
46981, Mnemonics, أساليب تقوية الذاكرة
46982, Mnemotechnic, متعلق بتحسين الذاكرة
46983, MO, ميسسوري
46984, Moan, الأنين
46985, Moaned, مشتكى
46986, Moaning, الشكوى
46987, Moans, يشتكي
46988, Moat, الخندق المائي
46989, Moats, الخنادق المائية
46990, Mob, الغوغاء
46991, Mobbed, مهاجم
46992, Mobbing, المهاجمة
46993, Mobcap, قلنسوة نسائية
46994, Mobcaps, قلنسوات نسائية
46995, Mobil, موبيل
46996, Mobile, نقّال
46997, Mobiles, هواتف نقّالة
46998, Mobility, قابلية الحركة
46999, Mobilitys, قابلية الحركة
47000, Mobilization, التعبئة
47001, Mobilizations, التعبئة
47002, Mobilize, عبّئ
47003, Mobilized, معبّأ
47004, Mobilizer, المحرّك
47005, Mobilizes, يعبّئ
47006, Mobilizing, التعبئة
47007, Mobs, الغوغاء
47008, Mobster, الشقي
47009, Mobsters, أفراد العصابات
47010, Moccasin, الخفّ
47011, Moccasins, الأخفاف
47012, Mock, السخرية
47013, Mocked, مخدوع
47014, Mocker, وهمي
47015, Mockeries, المهازل
